ลำดับที่,เลขที่ใบอนุญาต,ชื่อสถานพยาบาล,ผู้ประกอบกิจการ,ผู้ดำเนินการสถานพยาบาล,ที่อยู่,โทรศัพท์,หมายเหตุ,ประเภท,Facebookpage,Aboutfrompage,เบอร์โทรศัพท์,Urlfacebookpage,UrlProfile,เวลาเช็คอินล่าสุด,สถานะ
1,65101074429,คลินิกวสันต์-สอางค์การแพทย์,นพ. วสันต์      ด่านสว่าง,นพ. วสันต์      ด่านสว่าง,174 ถ. พุทธบูชา ต.ในเมือง อ. เมือง จ. พิษณุโลก ,,,เวชกรรม,คลินิกวสันต์-สอางค์การแพทย์,,055 252 927,https://www.facebook.com/pages/%E0%B8%84%E0%B8%A5%E0%B8%B4%E0%B8%99%E0%B8%B4%E0%B8%81%E0%B8%A7%E0%B8%AA%E0%B8%B1%E0%B8%99%E0%B8%95%E0%B9%8C-%E0%B8%AA%E0%B8%AD%E0%B8%B2%E0%B8%87%E0%B8%84%E0%B9%8C%E0%B8%81%E0%B8%B2%E0%B8%A3%E0%B9%81%E0%B8%9E%E0%B8%97%E0%B8%A2%E0%B9%8C/1708693996044958,https://scontent.fphs2-1.fna.fbcdn.net/v/t1.0-1/c124.0.320.320a/p320x320/57821698_2271240182935231_5978221492482080768_n.jpg?_nc_cat=109&_nc_oc=AQmmazv_vWv4Ta3XpIYFu6eItKYH9cHamE5tFav3bIF1zzkZ4R8yOs8wjK6dZ_BPKcSYwlSPPIxb9QLnYq1T9HMw&_nc_ht=scontent.fphs2-1.fna&oh=2af692131a606d69a47517956da15af6&oe=5DED1CB9,13/7/2019,เพจไม่เป็นทางการ
2,65101096232,จำนงค์การแพทย์คลินิก,นพ.จำนงค์     เปรมชาวนา,นพ.จำนงค์     เปรมชาวนา,110/63 ถ. สุรงคะเดชะ ต. ในเมือง อ. เมือง จ. พิษณุโลก ,302397,,เวชกรรม,จำนงค์การแพทย์คลินิก,,,https://www.facebook.com/pages/%E0%B8%88%E0%B8%B3%E0%B8%99%E0%B8%87%E0%B8%84%E0%B9%8C%E0%B8%81%E0%B8%B2%E0%B8%A3%E0%B9%81%E0%B8%9E%E0%B8%97%E0%B8%A2%E0%B9%8C%E0%B8%84%E0%B8%A5%E0%B8%B4%E0%B8%99%E0%B8%B4%E0%B8%81/238017033448843,https://scontent.fphs2-1.fna.fbcdn.net/v/t1.0-1/c0.53.320.320a/p320x320/61695036_2551877778156054_3388898937946505216_n.jpg?_nc_cat=104&_nc_oc=AQmBOHcfDAVjxynE0M5cjsOi70sLFUi5RLzmQqDTJiPcPTSqtdPikFz6aCJKQN2vkOKzBH-edpjI58kBjpKtJP2I&_nc_ht=scontent.fphs2-1.fna&oh=4c5843deec60b7f83d7f9efbb96db49b&oe=5DA6F281,30/4/2019,เพจไม่เป็นทางการ
3,65101081333,คลินิกดวงรัตน์การแพทย์,พญ.ดวงรัตน์    เชี่ยวชาญวิทย์,พญ.ดวงรัตน์    เชี่ยวชาญวิทย์,203 หมู่ 4 ต. บางกระทุ่ม อ. บางกระทุ่ม จ. พิษณุโลก ,365339,,เวชกรรม,,,,,,,
4,65101026634,คลินิกแพทย์ศิวฤทธิ์,นพ.ศิวฤทธิ์    รัศมีจันทร์,นพ. ศิวฤทธิ์    รัศมีจันทร์,183/17 ถ. เอกาทศรถ ต. ในเมือง อ. เมือง จ. พิษณุโลก ,219441,,เวชกรรม,,เสียชีวิตแล้ว,,,,,
5,65101000539,คลินิกแพทย์อนิศรา,พญอนิศรา    โกวิทยานนท์,พญ. อนิศรา    โกวิทยานนท์,23/5 ถ. ราเมศวร ต. ในเมืองอ. เมือง จ. พิษณุโลก ,,,เวชกรรม,หมออนิศรา,,,https://www.facebook.com/pages/%E0%B8%AB%E0%B8%A1%E0%B8%AD%E0%B8%AD%E0%B8%99%E0%B8%B4%E0%B8%A8%E0%B8%A3%E0%B8%B2/449353025501800,,,เพจไม่เป็นทางการ
6,65101000641,คลินิกแพทย์วรรณา,พญ.วรรณา    อาจองค์,พญ. วรรณา    อาจองค์,298/1-2 ถ.บรมไตรฯ ต.ในเมือง อ. เมือง จ. พิษณุโลก ,,,เวชกรรม,คลินิกแพทย์วรรณา,,,https://www.facebook.com/pages/%E0%B8%84%E0%B8%A5%E0%B8%B4%E0%B8%99%E0%B8%B4%E0%B8%81%E0%B9%81%E0%B8%9E%E0%B8%97%E0%B8%A2%E0%B9%8C%E0%B8%A7%E0%B8%A3%E0%B8%A3%E0%B8%93%E0%B8%B2/623222551454392,https://scontent.fphs2-1.fna.fbcdn.net/v/t1.0-1/c0.53.320.320a/p320x320/54278610_2335986763130733_1872058751201050624_n.jpg?_nc_cat=105&_nc_oc=AQm28GZ3-u5c7-7Ps7IXlAXH5bP481u8u1tDRjRnUOIAnZ_fVaKuOPBOWYlNb30H-7FG0SvjX886tYKUVI-CmFfJ&_nc_ht=scontent.fphs2-1.fna&oh=6e4e8e824f7735842fc13ed726e5c576&oe=5DAB4DE8,17/72019,เพจไม่เป็นทางการ
7,65101001141,คลินิกขจรการแพทย์, นพ.นายขจร     สุนทรภิวัฒน์,นพ.ขจร     สุนทรภิวัฒน์,109/185-186 หมู่ 7 ต. บางระกำ อ. บางระกำ จ. พิษณุโลก ,,,เวชกรรม,,,,,,,
8,65101000242,คลินิกนายแพทย์ประพันธ์,นพ.ประพันธ์      จันทนะโพธิ,นพ.ประพันธ์      จันทนะโพธิ,224/21 ถ.บรมไตรฯ ต.ในเมือง อ. เมือง จ. พิษณุโลก ,219345,,เวชกรรม,ประพันธ์คลินิกกระดูกและข้อ,,055 219 345,https://www.facebook.com/pages/%E0%B8%9B%E0%B8%A3%E0%B8%B0%E0%B8%9E%E0%B8%B1%E0%B8%99%E0%B8%98%E0%B9%8C%E0%B8%84%E0%B8%A5%E0%B8%B4%E0%B8%99%E0%B8%B4%E0%B8%81%E0%B8%81%E0%B8%A3%E0%B8%B0%E0%B8%94%E0%B8%B9%E0%B8%81%E0%B9%81%E0%B8%A5%E0%B8%B0%E0%B8%82%E0%B9%89%E0%B8%AD/641106875942494,,4/5/2019,เพจไม่เป็นทางการ
9,65101000442,คลินิกนายแพทย์ดนัย,นพ.ดนัย      สังข์ทรัพย์,นพ.ดนัย      สังข์ทรัพย์,209/33 ถ. สุรสีห์ ต.ในเมือง อ. เมือง จ. พิษณุโลก ,225133,,เวชกรรม,คลีนิคนายแพทย์ดนัย โรคผิวหนัง,,,https://www.facebook.com/pages/%E0%B8%84%E0%B8%A5%E0%B8%B5%E0%B8%99%E0%B8%B4%E0%B8%84%E0%B8%99%E0%B8%B2%E0%B8%A2%E0%B9%81%E0%B8%9E%E0%B8%97%E0%B8%A2%E0%B9%8C%E0%B8%94%E0%B8%99%E0%B8%B1%E0%B8%A2-%E0%B9%82%E0%B8%A3%E0%B8%84%E0%B8%9C%E0%B8%B4%E0%B8%A7%E0%B8%AB%E0%B8%99%E0%B8%B1%E0%B8%87/430934270300919,https://scontent.fphs2-1.fna.fbcdn.net/v/t1.0-1/p320x320/15326451_1125124314267677_7408767428065466208_n.jpg?_nc_cat=104&_nc_oc=AQmBxYhTuqgoFHXARG6g46GbtLdAPmnmQ68BtTFUmK3Pt_FiFgWxErx5p0DQ_sVrk8LTT3f-vvJZH9-rEyICtgWp&_nc_ht=scontent.fphs2-1.fna&oh=fb1023ef097e934cda20ded3ee91a887&oe=5DA13848,16/7/2019,เพจไม่เป็นทางการ
10,65101000842,คลินิกนายแพทย์วิรัช,นพ.วิรัช    ศิริกุลเสถียร,นพ. วิรัช    ศิริกุลเสถียร,104-105 ถ. บรมไตรฯ ต. ในเมือง อ. เมือง จ.พิษณุโลก ,258439,,เวชกรรม,,,,,,,
