ลำดับที่,เลขที่ใบอนุญาต,ชื่อสถานพยาบาล,ผู้ประกอบกิจการ,ผู้ดำเนินการสถานพยาบาล,ที่อยู่,โทรศัพท์,หมายเหตุ,ประเภท,Facebookpage,Aboutfrompage,เบอร์โทรศัพท์,Urlfacebookpage,UrlProfile,เวลาเช็คอินล่าสุด,สถานะ,,,,,,
1,65101074429,คลินิกวสันต์-สอางค์การแพทย์,นพ. วสันต์      ด่านสว่าง,นพ. วสันต์      ด่านสว่าง,174 ถ. พุทธบูชา ต.ในเมือง อ. เมือง จ. พิษณุโลก ,,,เวชกรรม,คลินิกวสันต์-สอางค์การแพทย์,,055 252 927,https://www.facebook.com/pages/%E0%B8%84%E0%B8%A5%E0%B8%B4%E0%B8%99%E0%B8%B4%E0%B8%81%E0%B8%A7%E0%B8%AA%E0%B8%B1%E0%B8%99%E0%B8%95%E0%B9%8C-%E0%B8%AA%E0%B8%AD%E0%B8%B2%E0%B8%87%E0%B8%84%E0%B9%8C%E0%B8%81%E0%B8%B2%E0%B8%A3%E0%B9%81%E0%B8%9E%E0%B8%97%E0%B8%A2%E0%B9%8C/1708693996044958,https://scontent.fphs2-1.fna.fbcdn.net/v/t1.0-1/p320x320/1910632_504954479701013_5099277691515183243_n.jpg?_nc_cat=106&_nc_eui2=AeHAmkUxYdABoTfKJHquVvIMmWZQZnt1RDQQop_8z_aztkGe6xD5K9pdI7d0yYMw7g0FIqBDJUYAQuSSec_quMa5QOv1kjZxwilcjdKsm3gv3g&_nc_oc=AQmwErQgv4sPNNaPDX3faZVe5LBzRib3jngWX7dZnalYOn2qd5tWucmULorZZVwvEyg&_nc_ht=scontent.fphs2-1.fna&oh=59d3b1333fd8e25831a74bae869e23ac&oe=5E5F9FD6,7/10/2019,เพจไม่เป็นทางการ,,1,,,,
2,65101096232,จำนงค์การแพทย์คลินิก,นพ.จำนงค์     เปรมชาวนา,นพ.จำนงค์     เปรมชาวนา,110/63 ถ. สุรงคะเดชะ ต. ในเมือง อ. เมือง จ. พิษณุโลก ,055-302397,,เวชกรรม,จำนงค์การแพทย์คลินิก,,,https://www.facebook.com/pages/%E0%B8%88%E0%B8%B3%E0%B8%99%E0%B8%87%E0%B8%84%E0%B9%8C%E0%B8%81%E0%B8%B2%E0%B8%A3%E0%B9%81%E0%B8%9E%E0%B8%97%E0%B8%A2%E0%B9%8C%E0%B8%84%E0%B8%A5%E0%B8%B4%E0%B8%99%E0%B8%B4%E0%B8%81/238017033448843,https://scontent.fphs2-1.fna.fbcdn.net/v/t1.0-1/c0.53.320.320a/p320x320/61695036_2551877778156054_3388898937946505216_n.jpg?_nc_cat=104&_nc_eui2=AeHKFg2bjpr-oNFFaTAUxOAtL444fijyY0cxeS4WhtzXhTKUu9pfyfkouQk2Ayc6A8EInaysUZI9wyQbXoTKIzTxOdUsM3WLe2TgSrILUc4xlA&_nc_oc=AQnv06ta3tQcmhJpJwNNS7HUJuyjUF6c8wrlebELlzTeJ_Z-IYdv2W5zSMb5bll1VEAhzKFd4KxdUnbF30lev8tc&_nc_ht=scontent.fphs2-1.fna&oh=3fa92899cf65d4c47eb6dc68aaaf468c&oe=5E1D9981,30/4/2019,เพจไม่เป็นทางการ,,2,,,,
3,65101081333,คลินิกดวงรัตน์การแพทย์,พญ.ดวงรัตน์    เชี่ยวชาญวิทย์,พญ.ดวงรัตน์    เชี่ยวชาญวิทย์,203 หมู่ 4 ต. บางกระทุ่ม อ. บางกระทุ่ม จ. พิษณุโลก ,055-365339,,เวชกรรม,,,,,,,,,3,,,,
4,65101026634,คลินิกแพทย์ศิวฤทธิ์,นพ.ศิวฤทธิ์    รัศมีจันทร์,นพ. ศิวฤทธิ์    รัศมีจันทร์,183/17 ถ. เอกาทศรถ ต. ในเมือง อ. เมือง จ. พิษณุโลก ,055-219441,,เวชกรรม,,เสียชีวิตแล้ว,,,,,,,4,,,,
5,65101000539,คลินิกแพทย์อนิศรา,พญอนิศรา    โกวิทยานนท์,พญ. อนิศรา    โกวิทยานนท์,23/5 ถ. ราเมศวร ต. ในเมืองอ. เมือง จ. พิษณุโลก ,,,เวชกรรม,หมออนิศรา,,,https://www.facebook.com/pages/%E0%B8%AB%E0%B8%A1%E0%B8%AD%E0%B8%AD%E0%B8%99%E0%B8%B4%E0%B8%A8%E0%B8%A3%E0%B8%B2/449353025501800,,,เพจไม่เป็นทางการ,,5,,,,
6,65101000641,คลินิกแพทย์วรรณา,พญ.วรรณา    อาจองค์,พญ. วรรณา    อาจองค์,298/1-2 ถ.บรมไตรฯ ต.ในเมือง อ. เมือง จ. พิษณุโลก ,,,เวชกรรม,คลินิกแพทย์วรรณา,,,https://www.facebook.com/pages/%E0%B8%84%E0%B8%A5%E0%B8%B4%E0%B8%99%E0%B8%B4%E0%B8%81%E0%B9%81%E0%B8%9E%E0%B8%97%E0%B8%A2%E0%B9%8C%E0%B8%A7%E0%B8%A3%E0%B8%A3%E0%B8%93%E0%B8%B2/623222551454392,,8/10/2019,เพจไม่เป็นทางการ,,6,,,,
7,65101001141,คลินิกขจรการแพทย์, นพ.นายขจร     สุนทรภิวัฒน์,นพ.ขจร     สุนทรภิวัฒน์,109/185-186 หมู่ 7 ต. บางระกำ อ. บางระกำ จ. พิษณุโลก ,,,เวชกรรม,,,,,,,,,7,,,,
8,65101000242,คลินิกนายแพทย์ประพันธ์,นพ.ประพันธ์      จันทนะโพธิ,นพ.ประพันธ์      จันทนะโพธิ,224/21 ถ.บรมไตรฯ ต.ในเมือง อ. เมือง จ. พิษณุโลก ,055-219345,,เวชกรรม,ประพันธ์คลินิกกระดูกและข้อ,,055 219 345,https://www.facebook.com/pages/%E0%B8%9B%E0%B8%A3%E0%B8%B0%E0%B8%9E%E0%B8%B1%E0%B8%99%E0%B8%98%E0%B9%8C%E0%B8%84%E0%B8%A5%E0%B8%B4%E0%B8%99%E0%B8%B4%E0%B8%81%E0%B8%81%E0%B8%A3%E0%B8%B0%E0%B8%94%E0%B8%B9%E0%B8%81%E0%B9%81%E0%B8%A5%E0%B8%B0%E0%B8%82%E0%B9%89%E0%B8%AD/641106875942494,,3/8/2019,เพจไม่เป็นทางการ,,8,,,,
9,65101000442,คลินิกนายแพทย์ดนัย,นพ.ดนัย      สังข์ทรัพย์,นพ.ดนัย      สังข์ทรัพย์,209/33 ถ. สุรสีห์ ต.ในเมือง อ. เมือง จ. พิษณุโลก ,055-225133,,เวชกรรม,คลีนิคนายแพทย์ดนัย โรคผิวหนัง,,,https://www.facebook.com/pages/%E0%B8%84%E0%B8%A5%E0%B8%B5%E0%B8%99%E0%B8%B4%E0%B8%84%E0%B8%99%E0%B8%B2%E0%B8%A2%E0%B9%81%E0%B8%9E%E0%B8%97%E0%B8%A2%E0%B9%8C%E0%B8%94%E0%B8%99%E0%B8%B1%E0%B8%A2-%E0%B9%82%E0%B8%A3%E0%B8%84%E0%B8%9C%E0%B8%B4%E0%B8%A7%E0%B8%AB%E0%B8%99%E0%B8%B1%E0%B8%87/430934270300919,https://scontent.fphs2-1.fna.fbcdn.net/v/t1.0-1/p320x320/15326451_1125124314267677_7408767428065466208_n.jpg?_nc_cat=104&_nc_eui2=AeHdVPk-FeZAeLfhHYa5ACVYjHwdsT7WuTSJx0cUESEmz-elGjWVSNL4a1cfg6w1Y1s0OjPhMZnmJZToB7Po3VyE8fXCb4JV-geYZSarF9ftJg&_nc_oc=AQlIOsndCHkPlDhYiEe9PiTq_ylMiyAafQhApZfU4fj5_XT6q-_kZF_xaRnQtBuhzuNge_9EQ9xOh29Cf8gXLxny&_nc_ht=scontent.fphs2-1.fna&oh=f59aee005970301bacb7378519222c12&oe=5E17DF48,15/10/2019,เพจไม่เป็นทางการ,,9,,,,
10,65101000842,คลินิกนายแพทย์วิรัช,นพ.วิรัช    ศิริกุลเสถียร,นพ. วิรัช    ศิริกุลเสถียร,104-105 ถ. บรมไตรฯ ต. ในเมือง อ. เมือง จ.พิษณุโลก ,055-258439,,เวชกรรม,,,,,,,,,10,,,,
